No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS
122,Sumatera Utara,Kabupaten Tapanuli Tengah,10260493,SMKN 1 LUMUT,Teknik Kendaraan Ringan,Teknik Sepeda Motor,,,
109,Sumatera Utara,Kabupaten Langkat,69953551,SMK SWASTA TAMAN SISWA PADANG TUALANG,Teknik Kendaraan  Ringan,,,,
110,Sumatera Utara,Kabupaten Langkat,10259372,SMKS SRI LANGKAT,Teknik Kendaraan Ringan,,,,
111,Sumatera Utara,Kabupaten Langkat,10220747,SMK SWASTA TAMAN SISWA SAWIT SEBERANG,Teknik Kendaraan Ringan,Teknik Sepeda Motor,,,
128,Sumatera Utara,Kota Medan,69727256,SMK Swasta Imelda Medan,Teknik Sepeda Motor,Teknik Instalasi Tenaga Listrik,,,
123,Sumatera Utara,Kabupaten Tapanuli Tengah,70044057,SMK Negeri 1 Sukabangun,Teknik Sepeda Motor,,,,
129,Sumatera Utara,Kota Medan,10211209,SMK TI SWASTA BUDI AGUNG MEDAN,Teknik Kendaraan Ringan,,,,
120,Sumatera Utara,Kabupaten Mandailing Natal,10208081,SMKN 1 BATANG NATAL,Teknik Komputer dan Jaringan,Teknik Audio Video,,,
112,Sumatera Utara,Kabupaten Langkat,69956351,SMK SWASTA TARUNA BANGSA,Teknik Sepeda Motor,,,,
125,Sumatera Utara,Kabupaten Tapanuli Utara,10220604,SMKN 1 PAHAE JULU,Teknik Instalasi Tenaga Listrik,,,,
113,Sumatera Utara,Kabupaten Langkat,10201068,SMK PERSIAPAN PADANG TUALANG,Teknik Kendaraan Ringan,Teknik Sepeda Motor,,,
114,Sumatera Utara,Kabupaten Langkat,10259283,SMKS AL-MA'ARIF,Teknik Sepeda Motor,,,,
124,Sumatera Utara,Kabupaten Tapanuli Tengah,10260526,SMKN 1 BADIRI,Desain dan Produksi Busana,,,,
115,Sumatera Utara,Kabupaten Langkat,69725097,SMK SWASTA AL HIKMAH,Teknik Sepeda Motor,,,,
130,Sumatera Utara,Kota Medan,10210765,SMKN 8 MEDAN,Desain dan Produksi Busana,,,,
116,Sumatera Utara,Kabupaten Langkat,10257578,SMKS AL JAMIYATUL WASHLIYAH,Teknik Komputer Jaringan,,,,
117,Sumatera Utara,Kabupaten Langkat,69956580,SMK SWASTA AL-MAKSUM YAZID,Teknik Komputer  Jaringan,,,,
118,Sumatera Utara,Kabupaten Langkat,10259709,SMKS MAJU,Teknik Komputer dan Jaringan,,,,
